sample_id,patch_layers,suffix_start,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,reference_continuation_ce,suffix_continuation_ce,reference_text,suffix_text
0,8,9,1.0,128,8,0,0,0,0.125,0.125,0.9003846645355225,5.247556686401367,.00|游戏开始|9821, of the year 2019| 
0,8,13,1.0,128,8,0,0,0,0.0,0.0,0.9003846645355225,5.191855430603027,.00|游戏开始|9821," of the year 2019, the"
0,8,9,0.5,128,8,0,0,0,0.0,0.0,0.9003846645355225,4.914693355560303,.00|游戏开始|9821, of the year 2019\n0
0,8,13,0.5,128,8,0,0,0,0.0,0.0,0.9003846645355225,5.191855430603027,.00|游戏开始|9821," of the year 2019, the"
0,12,9,1.0,128,8,0,0,0,0.0,0.0,0.9003846645355225,4.914693355560303,.00|游戏开始|9821, of the year 2019\n0
0,12,13,1.0,128,8,0,0,0,0.0,0.0,0.9003846645355225,5.191855430603027,.00|游戏开始|9821," of the year 2019, the"
0,12,9,0.5,128,8,0,0,0,0.0,0.0,0.9003846645355225,4.914693355560303,.00|游戏开始|9821, of the year 2019\n0
0,12,13,0.5,128,8,0,0,0,0.0,0.0,0.9003846645355225,5.191855430603027,.00|游戏开始|9821," of the year 2019, the"
0,"8,12,15",9,1.0,128,8,0,0,0,0.0,0.0,0.9003846645355225,4.914693355560303,.00|游戏开始|9821, of the year 2019\n0
0,"8,12,15",13,1.0,128,8,0,0,0,0.0,0.0,0.9003846645355225,5.191855430603027,.00|游戏开始|9821," of the year 2019, the"
0,"8,12,15",9,0.5,128,8,0,0,0,0.0,0.0,0.9003846645355225,4.914693355560303,.00|游戏开始|9821, of the year 2019\n0
0,"8,12,15",13,0.5,128,8,0,0,0,0.0,0.0,0.9003846645355225,5.191855430603027,.00|游戏开始|9821," of the year 2019, the"
