layer,method,slot_mode,slots_per_block,translator,normalize,prior_alpha,block_score_mode,anchor_tokens,budget_ratio,selected_ratio,translated_mse,translated_cosine,selective_oracle_cosine
8,baseline_1slot_linear,mean,1,linear,False,0.0,anchor_count,64,0.5,0.4375,0.006743178586475551,0.7537792436778545,0.9661320671439171
8,multislot_linear,top_tokens,4,linear,False,0.0,anchor_count,64,0.5,0.4375,0.0075883416284341365,0.7113909982144833,0.9661320671439171
8,multislot_mlp,top_tokens,4,mlp,False,0.0,anchor_count,64,0.5,0.4375,0.004444803635124117,0.8379646018147469,0.9661320671439171
8,multislot_mlp_norm,top_tokens,4,mlp,True,0.0,anchor_count,64,0.5,0.4375,0.004409029352245852,0.8318182900547981,0.9661320671439171
8,multislot_headwise_norm,top_tokens,4,headwise,True,0.0,anchor_count,64,0.5,0.4375,0.003675233543617651,0.8660660050809383,0.9661320671439171
8,multislot_mlp_norm_prior,top_tokens,4,mlp,True,1.0,anchor_count,64,0.5,0.4375,0.004928152920911089,0.805220901966095,0.9661320671439171
12,baseline_1slot_linear,mean,1,linear,False,0.0,anchor_count,64,0.5,0.4375,0.006794661894673482,0.6980057172477245,0.9749425388872623
12,multislot_linear,top_tokens,4,linear,False,0.0,anchor_count,64,0.5,0.4375,0.014224516169633716,0.5109005756676197,0.9749425388872623
12,multislot_mlp,top_tokens,4,mlp,False,0.0,anchor_count,64,0.5,0.4375,0.006921160384081304,0.689485177397728,0.9749425388872623
12,multislot_mlp_norm,top_tokens,4,mlp,True,0.0,anchor_count,64,0.5,0.4375,0.004543665359960869,0.7586596794426441,0.9749425388872623
12,multislot_headwise_norm,top_tokens,4,headwise,True,0.0,anchor_count,64,0.5,0.4375,0.0038653447263641283,0.7966255806386471,0.9749425388872623
12,multislot_mlp_norm_prior,top_tokens,4,mlp,True,1.0,anchor_count,64,0.5,0.4375,0.004823413270059973,0.7354419641196728,0.9749425388872623
15,baseline_1slot_linear,mean,1,linear,False,0.0,anchor_count,64,0.5,0.4375,0.015897360804956406,0.725695051252842,0.9755860939621925
15,multislot_linear,top_tokens,4,linear,False,0.0,anchor_count,64,0.5,0.4375,0.013074360555037856,0.7573721781373024,0.9755860939621925
15,multislot_mlp,top_tokens,4,mlp,False,0.0,anchor_count,64,0.5,0.4375,0.011029493703972548,0.7960621789097786,0.9755860939621925
15,multislot_mlp_norm,top_tokens,4,mlp,True,0.0,anchor_count,64,0.5,0.4375,0.009717046865262091,0.8118729069828987,0.9755860939621925
15,multislot_headwise_norm,top_tokens,4,headwise,True,0.0,anchor_count,64,0.5,0.4375,0.007533523108577356,0.8505629636347294,0.9755860939621925
15,multislot_mlp_norm_prior,top_tokens,4,mlp,True,1.0,anchor_count,64,0.5,0.4375,0.010580678761471063,0.8080652952194214,0.9755860939621925
