sample_id,layers,patch_source,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,full_continuation_ce,boot_continuation_ce,full_text,boot_text
0,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.875,0.875,0.9003846645355225,1.7702535390853882,.00|游戏开始|9821,.00|游戏开始|1\n
0,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
1,"8,9,10,11,12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"8,9,10,11,12,13,14,15",translated,1.0,128,8,1,0,6,0.875,0.875,0.9003846645355225,1.7702535390853882,.00|游戏开始|9821,.00|游戏开始|1\n
1,"8,9,10,11,12,13,14,15",translated,0.5,128,8,1,0,6,0.75,0.75,0.9003846645355225,0.962139904499054,.00|游戏开始|9821,.00|游戏开始|0.
0,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
